RiderID,TripNumber,ClipName,ClipFramePath,VideoName,FramePath,Time,Press,Pass_Distance,NearMiss,Seconds,SignedSpeed
1,1,PassingEvent_Duration10s_000322.mp4,PassingEvent_Duration10s_000322,Trip_1.3_GP030006.LRV,MPDS_001/Trip_1.3_GP030006,00:00:12.768000,0,127.0,0,58,60.0
1,1,PassingEvent_Duration10s_000225.mp4,PassingEvent_Duration10s_000225,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:00:13.710000,0,152.0,0,56,60.0
1,1,PassingEvent_Duration10s_000226.mp4,PassingEvent_Duration10s_000226,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:00:26.818000,0,189.0,0,75,60.0
1,1,PassingEvent_Duration10s_000227.mp4,PassingEvent_Duration10s_000227,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:00:31.210000,0,140.0,0,44,60.0
1,1,PassingEvent_Duration10s_000323.mp4,PassingEvent_Duration10s_000323,Trip_1.3_GP030006.LRV,MPDS_001/Trip_1.3_GP030006,00:00:38.385000,0,140.0,0,61,60.0
1,1,PassingEvent_Duration10s_000324.mp4,PassingEvent_Duration10s_000324,Trip_1.3_GP030006.LRV,MPDS_001/Trip_1.3_GP030006,00:00:40.687000,0,215.0,0,81,60.0
1,1,PassingEvent_Duration10s_000228.mp4,PassingEvent_Duration10s_000228,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:00:44.730000,0,136.0,0,88,60.0
1,1,PassingEvent_Duration10s_000229.mp4,PassingEvent_Duration10s_000229,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:00:49.133000,0,152.0,0,57,60.0
1,1,PassingEvent_Duration10s_000230.mp4,PassingEvent_Duration10s_000230,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:00:53.436000,0,149.0,0,79,60.0
1,1,PassingEvent_Duration10s_000294.mp4,PassingEvent_Duration10s_000294,Trip_1.2_GP020006.LRV,MPDS_001/Trip_1.2_GP020006,00:00:56.318000,0,121.0,0,75,60.0
1,1,PassingEvent_Duration10s_000319.mp4,PassingEvent_Duration10s_000319,Trip_1.2_GP020006.LRV,MPDS_001/Trip_1.2_GP020006,00:10:10.787000,0,166.0,0,657,40.0
1,1,PassingEvent_Duration10s_000268.mp4,PassingEvent_Duration10s_000268,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:11:12.849000,0,105.0,0,723,60.0
1,1,PassingEvent_Duration10s_000269.mp4,PassingEvent_Duration10s_000269,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:11:17.752000,0,147.0,0,722,60.0
1,1,PassingEvent_Duration10s_000270.mp4,PassingEvent_Duration10s_000270,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:11:22.155000,0,133.0,0,691,60.0
1,1,PassingEvent_Duration10s_000320.mp4,PassingEvent_Duration10s_000320,Trip_1.2_GP020006.LRV,MPDS_001/Trip_1.2_GP020006,00:11:23.335000,1,69.0,1,703,60.0
1,1,PassingEvent_Duration10s_000271.mp4,PassingEvent_Duration10s_000271,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:11:26.570000,0,129.0,0,720,60.0
1,1,PassingEvent_Duration10s_000272.mp4,PassingEvent_Duration10s_000272,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:11:42.869000,0,266.0,0,754,60.0
1,1,PassingEvent_Duration10s_000267.mp4,PassingEvent_Duration10s_000267,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:11:07.745000,0,157.0,0,712,60.0
1,1,PassingEvent_Duration10s_000275.mp4,PassingEvent_Duration10s_000275,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:12:20.194000,0,219.0,0,752,60.0
1,1,PassingEvent_Duration10s_000276.mp4,PassingEvent_Duration10s_000276,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:12:29.800000,0,260.0,0,797,60.0
1,1,PassingEvent_Duration10s_000277.mp4,PassingEvent_Duration10s_000277,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:12:35.704000,0,239.0,0,797,60.0
1,1,PassingEvent_Duration10s_000278.mp4,PassingEvent_Duration10s_000278,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:12:37.505000,0,217.0,0,787,60.0
1,1,PassingEvent_Duration10s_000279.mp4,PassingEvent_Duration10s_000279,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:12:44.900000,0,217.0,0,818,60.0
1,1,PassingEvent_Duration10s_000280.mp4,PassingEvent_Duration10s_000280,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:12:46.711000,0,194.0,0,809,60.0
1,1,PassingEvent_Duration10s_000281.mp4,PassingEvent_Duration10s_000281,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:12:51.314000,0,142.0,0,790,60.0
1,1,PassingEvent_Duration10s_000282.mp4,PassingEvent_Duration10s_000282,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:12:57.218000,0,195.0,0,790,60.0
1,1,PassingEvent_Duration10s_000273.mp4,PassingEvent_Duration10s_000273,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:12:06.840000,0,273.0,0,776,60.0
1,1,PassingEvent_Duration10s_000274.mp4,PassingEvent_Duration10s_000274,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:12:09.887000,0,209.0,0,782,60.0
1,1,PassingEvent_Duration10s_000286.mp4,PassingEvent_Duration10s_000286,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:13:13.429000,0,169.0,0,819,60.0
1,1,PassingEvent_Duration10s_000283.mp4,PassingEvent_Duration10s_000283,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:13:02.422000,0,177.0,0,807,60.0
1,1,PassingEvent_Duration10s_000287.mp4,PassingEvent_Duration10s_000287,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:13:29.240000,0,143.0,0,823,60.0
1,1,PassingEvent_Duration10s_000284.mp4,PassingEvent_Duration10s_000284,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:13:06.725000,0,189.0,0,830,60.0
1,1,PassingEvent_Duration10s_000285.mp4,PassingEvent_Duration10s_000285,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:13:09.827000,0,228.0,0,839,60.0
1,1,PassingEvent_Duration10s_000290.mp4,PassingEvent_Duration10s_000290,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:14:21.274000,0,111.0,0,877,60.0
1,1,PassingEvent_Duration10s_000321.mp4,PassingEvent_Duration10s_000321,Trip_1.2_GP020006.LRV,MPDS_001/Trip_1.2_GP020006,00:14:23.155000,0,104.0,0,872,60.0
1,1,PassingEvent_Duration10s_000291.mp4,PassingEvent_Duration10s_000291,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:14:26.878000,0,187.0,0,919,60.0
1,1,PassingEvent_Duration10s_000288.mp4,PassingEvent_Duration10s_000288,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:14:03.262000,0,175.0,0,859,60.0
1,1,PassingEvent_Duration10s_000223.mp4,PassingEvent_Duration10s_000223,Trip_1.0_GOPR0006.LRV,MPDS_001/Trip_1.0_GOPR0006,00:14:42.525000,0,163.0,0,914,40.0
